pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-447,7.79430132,0.0769,0.123,1.37,,1.,2015-02-19,
Kepler-852,44.9309804,,,,854.,1.19,2016-05-10,
Kepler-850,7.19303878,,,,1535.,1.06,2016-05-10,
Kepler-424,223.3,0.73,,6.97,,1.01,2014-10-03,
Kepler-424,3.3118644,0.044,,1.03,,1.01,2014-10-03,
Kepler-299,2.927128,0.04,,,,0.97,2014-05-14,
Kepler-299,15.054786,0.118,,,,0.97,2014-05-14,
Kepler-299,38.285489,0.22,,,,0.97,2014-05-14,
Kepler-299,6.885875,0.07,,,,0.97,2014-05-14,
Kepler-300,40.714955,0.232,,,,0.94,2014-05-14,
Kepler-300,10.446347,0.094,,,,0.94,2014-05-14,
Kepler-110,31.719775,0.198,,,,,2014-05-14,
Kepler-110,12.691112,0.107,,,,,2014-05-14,
Kepler-532,12.92491623,,,,325.,0.87,2016-05-10,
Kepler-1001,14.30511983,,,,1009.,0.9,2016-05-10,
Kepler-1050,21.1284569,,,,555.,1.09,2016-05-10,
Kepler-1050,15.3787546,,,,555.,1.09,2016-05-10,
Kepler-1398,4.13827595,,,,793.,1.13,2016-05-10,
Kepler-1398,2.78815679,,,,793.,1.13,2016-05-10,
Kepler-1270,6.03356196,,,,1204.,1.28,2016-05-10,
Kepler-593,21.21708973,,,,1016.,1.08,2016-05-10,
Kepler-1137,23.9210791,,,,971.,1.5,2016-05-10,
Kepler-97,789.,,,1.08,,0.94,2014-05-14,
Kepler-97,2.58664,,,0.011,,0.94,2014-05-14,
Kepler-592,2.82019241,,,,1034.,1.04,2016-05-10,
Kepler-531,29.88485741,,,,254.,0.78,2016-05-10,
Kepler-386,12.31043,0.096,,,,0.74,2014-05-14,
Kepler-386,25.193458,0.155,,,,0.74,2014-05-14,
Kepler-1352,1.87788275,,,,637.,1.11,2016-05-10,
Kepler-509,41.74600392,,,,339.,1.1,2016-05-10,
Kepler-1482,12.25383217,,,,442.,0.88,2016-05-10,
Kepler-1381,25.3842686,,,,1306.,0.96,2016-05-10,
Kepler-1349,2.12823928,,,,260.,1.16,2016-05-10,
Kepler-380,7.630004,0.078,,,,1.05,2014-05-14,
Kepler-380,3.930821,0.05,,,,1.05,2014-05-14,
Kepler-1254,9.99113313,,,,676.,0.78,2016-05-10,
Kepler-1254,3.60084276,,,,676.,0.78,2016-05-10,
Kepler-1254,5.72717226,,,,676.,0.78,2016-05-10,
Kepler-844,2.61302086,,,,394.,0.59,2016-05-10,
Kepler-313,14.970418,0.125,,,,0.9,2014-05-14,
Kepler-313,32.273273,0.208,,,,0.9,2014-05-14,
Kepler-297,38.871826,0.217,,,,,2014-05-14,
Kepler-297,74.920137,0.336,,,,,2014-05-14,
Kepler-666,4.49876092,,,,1330.,1.03,2016-05-10,
Kepler-570,4.301662,,,,642.,0.93,2016-05-10,
Kepler-1639,9.878482,,,,1168.,1.12,2016-05-10,
Kepler-1261,48.4308991,,,,795.,0.82,2016-05-10,
Kepler-841,124.4198398,,,,1052.,0.85,2016-05-10,
Kepler-848,6.91134416,,,,797.,1.01,2016-05-10,
Kepler-957,5.90741354,,,,749.,0.81,2016-05-10,
Kepler-533,28.51120525,,,,305.,0.78,2016-05-10,
Kepler-298,10.475464,0.08,,,,0.65,2014-05-14,
Kepler-298,22.92881,0.136,,,,0.65,2014-05-14,
Kepler-298,77.473633,0.305,,,,0.65,2014-05-14,
Kepler-1454,47.0319479,,,,795.,0.9,2016-05-10,
Kepler-1442,81.4162941,,,,525.,1.34,2016-05-10,
Kepler-166,7.650254,0.072,,,,,2014-05-14,
Kepler-166,1.55400393,,,,,,2016-05-10,
Kepler-166,34.260281,0.195,,,,,2014-05-14,
HIP 65407,28.125,0.177,0.14,0.428,55.5,0.93,2016-02-25,16.74
HIP 65407,67.3,0.316,0.12,0.784,55.5,0.93,2016-02-25,16.74
Kepler-512,34.43587975,,,,531.,1.17,2016-05-10,
Kepler-1031,1.22621732,,,,741.,1.09,2016-05-10,
Kepler-1402,2.03387914,,,,681.,0.9,2016-05-10,
Kepler-843,2.05387982,,,,1247.,1.02,2016-05-10,
Kepler-396,42.994,,,0.238,,0.85,2014-05-14,
Kepler-396,88.505,,,0.056,,0.85,2014-05-14,
Kepler-1246,11.32271513,,,,435.,0.73,2016-05-10,
Kepler-464,7.25696522,,,,653.,1.21,2016-05-10,
Kepler-1473,14.4273551,,,,625.,1.09,2016-05-10,
HD 222155,3999.,5.1,0.16,1.9,50.45,1.13,2014-05-14,19.82
Kepler-441,207.2482,0.64,0.1,,284.,0.57,2015-01-06,
Kepler-667,41.43962808,,,,907.,0.91,2016-05-10,
Kepler-68,580.,1.4,0.18,0.947,135.,1.08,2014-05-14,
Kepler-68,5.398763,0.0617,0.,0.026,135.,1.08,2014-05-14,
Kepler-68,9.605085,0.09059,0.,0.015,135.,1.08,2014-05-14,
Kepler-1429,4.48487493,,,,1156.,1.05,2016-05-10,
Kepler-846,19.80792185,,,,1233.,0.94,2016-05-10,
Kepler-1472,38.1312831,,,,1269.,1.16,2016-05-10,
Kepler-956,5.24867263,,,,631.,1.1,2016-05-10,
Kepler-124,3.410493,0.039,,,,,2014-05-14,
Kepler-124,13.821375,0.1,,,,,2014-05-14,
Kepler-124,30.950851,0.17,,,,,2014-05-14,
Kepler-1355,1.28958811,,,,963.,0.88,2016-05-10,
Kepler-366,12.51616,0.11,,,,1.05,2014-05-14,
Kepler-366,3.281959,0.045,,,,1.05,2014-05-14,
Kepler-1232,26.7839183,,,,740.,0.92,2016-05-10,
Kepler-1298,7.12811928,,,,498.,1.45,2016-05-10,
Kepler-853,7.16892463,,,,610.,1.3,2016-05-10,
Kepler-365,17.784129,0.137,,,,0.99,2014-05-14,
Kepler-365,10.664903,0.098,,,,0.99,2014-05-14,
Kepler-15,4.942782,0.05714,0.06,0.66,,1.02,2014-05-14,
Kepler-851,8.50699658,,,,869.,0.89,2016-05-10,
Kepler-1209,25.369116,,,,558.,1.23,2016-05-10,
Kepler-920,6.53192704,,,,926.,0.89,2016-05-10,
Kepler-920,100.8274113,,,,926.,0.89,2016-05-10,
Kepler-524,1.88897906,,,,730.,1.09,2016-05-10,
Kepler-524,7.97419807,,,,730.,1.09,2016-05-10,
Kepler-1080,77.2548396,,,,688.,1.1,2016-05-10,
Kepler-1089,5.13248562,,,,227.,0.52,2016-05-10,
Kepler-921,51.300634,,,,847.,0.93,2016-05-10,
Kepler-1412,3.6146051,,,,639.,1.06,2016-05-10,
Kepler-845,0.92785982,,,,471.,0.79,2016-05-10,
Kepler-998,5.65377733,,,,996.,1.12,2016-05-10,
Kepler-1544,168.811174,,,,349.,0.81,2016-05-10,
Kepler-670,2.81650485,,,,980.,0.99,2016-05-10,
Kepler-36,13.83989,0.1153,0.039,0.014,470.,1.07,2014-05-14,
Kepler-36,16.23855,0.1283,0.033,0.025,470.,1.07,2014-05-14,
Kepler-301,13.751243,0.112,,,,0.91,2014-05-14,
Kepler-301,5.419026,0.06,,,,0.91,2014-05-14,
Kepler-301,2.508553,0.036,,,,0.91,2014-05-14,
Kepler-1117,4.79028459,,,,619.,0.95,2016-05-10,
Kepler-669,4.12554687,,,,1778.,1.15,2016-05-10,
Kepler-1363,2.94194094,,,,559.,0.76,2016-05-10,
Kepler-1251,45.0904643,,,,863.,0.92,2016-05-10,
Kepler-372,20.053763,0.154,,,,1.15,2014-05-14,
Kepler-372,6.849692,0.075,,,,1.15,2014-05-14,
Kepler-372,30.092568,0.201,,,,1.15,2014-05-14,
Kepler-1131,3.53232449,,,,1109.,1.03,2016-05-10,
Kepler-481,10.06082567,,,,713.,1.01,2016-05-10,
Kepler-486,30.36044667,,,,428.,0.79,2016-05-10,
Kepler-668,8.35390639,,,,877.,0.87,2016-05-10,
Kepler-1480,22.12679948,,,,540.,0.85,2016-05-10,
KOI-351,8.719375,0.089,,,780.,1.2,2014-05-14,
KOI-351,59.73667,0.32,,,780.,1.2,2014-05-14,
KOI-351,91.93913,0.42,,,780.,1.2,2014-05-14,
KOI-351,210.60697,0.71,,,780.,1.2,2014-05-14,
KOI-351,331.60059,1.01,,,780.,1.2,2014-05-14,
KOI-351,7.008151,0.074,,,780.,1.2,2014-05-14,
KOI-351,124.9144,0.48,,,780.,1.2,2014-05-14,
Kepler-347,27.320871,0.183,,,,1.04,2014-05-14,
Kepler-347,12.79836,0.11,,,,1.04,2014-05-14,
Kepler-671,4.28095859,,,,1139.,0.97,2016-05-10,
TrES-2,2.47061317,0.0367,,1.197,213.,0.98,2015-10-15,4.7
Kepler-1070,6.2216147,,,,1040.,1.21,2016-05-10,
Kepler-1437,10.9295461,,,,1182.,0.93,2016-05-10,
Kepler-1596,66.373379,,,,1166.,0.95,2016-05-10,
Kepler-1104,5.03728015,,,,516.,1.3,2016-05-10,
Kepler-1207,13.68237119,,,,946.,1.06,2016-05-10,
Kepler-1319,2.88676265,,,,114.,0.56,2016-05-10,
Kepler-468,38.47875707,,,,474.,0.96,2016-05-10,
Kepler-1222,1.91694425,,,,455.,0.84,2016-05-10,
Kepler-1177,106.247547,,,,829.,0.98,2016-05-10,
Kepler-143,27.082511,0.181,,,,,2014-05-14,
Kepler-143,16.007583,0.127,,,,,2014-05-14,
Kepler-1426,14.2563227,,,,1211.,1.02,2016-05-10,
Kepler-571,4.79859939,,,,756.,0.93,2016-05-10,
Kepler-296,10.864384,0.079,0.33,,226.,0.5,2015-09-03,
Kepler-296,5.8416366,0.0521,0.33,,226.,0.5,2015-09-03,
Kepler-296,34.14211,0.169,0.33,,226.,0.5,2015-09-03,
Kepler-296,63.33627,0.255,0.33,,226.,0.5,2015-09-03,
Kepler-296,19.850291,0.118,0.33,,226.,0.5,2015-09-03,
Kepler-847,2.3432319,,,,529.,0.83,2016-05-10,
Kepler-1103,19.79191978,,,,921.,1.11,2016-05-10,
Kepler-1433,4.13592271,,,,1328.,1.14,2016-05-10,
Kepler-840,2.49577962,,,,778.,1.04,2016-05-10,
Kepler-1519,240.7989397,,,,858.,0.94,2016-05-10,
Kepler-426,3.21751883,0.0414,0.18,0.34,880.,0.91,2014-10-03,
Kepler-23,10.7421,0.099,,2.7,800.,1.11,2014-05-14,
Kepler-23,7.1073,0.075,,0.8,800.,1.11,2014-05-14,
Kepler-23,15.274299,0.124,,,800.,1.11,2014-05-14,
Kepler-1190,10.45843441,,,,384.,0.76,2016-05-10,
Kepler-672,38.3774623,,,,1011.,0.95,2016-05-10,
Kepler-1573,2.6157554,,,,1180.,1.01,2016-05-10,
Kepler-411,7.83442788,,,,,0.83,2016-05-10,
Kepler-411,3.00516,0.038,0.,,,0.83,2014-05-14,
Kepler-1150,2.78786839,,,,373.,0.76,2016-05-10,
Kepler-922,0.93846683,,,,558.,0.95,2016-05-10,
Kepler-534,15.95994513,,,,473.,1.05,2016-05-10,
Kepler-63,9.4341505,0.08,0.45,0.378,200.,0.98,2014-05-14,
Kepler-430,110.979,0.4757,,,,1.17,2014-11-19,
Kepler-430,35.968,0.2244,,,,1.17,2014-11-19,
BD+48 738,392.6,1.,0.2,0.91,,0.74,2015-08-13,
Kepler-1364,13.32196237,,,,1149.,1.49,2016-05-10,
Kepler-1428,10.67607169,,,,802.,1.28,2016-05-10,
Kepler-134,5.317429,0.06,,,,,2014-05-14,
Kepler-134,10.105785,0.092,,,,,2014-05-14,
Kepler-407,0.66931,,,0.0002,,1.,2014-05-14,
Kepler-407,3000.,,,12.6,,1.,2014-05-14,
Kepler-538,81.73780699,,,,165.,0.96,2016-05-10,
Kepler-991,82.5342519,,,,370.,0.64,2016-05-10,
Kepler-536,1.8270823,,,,446.,0.92,2016-05-10,
Kepler-1574,6.9424334,,,,1275.,1.06,2016-05-10,
Kepler-324,4.385315,0.05,,,,0.86,2014-05-14,
Kepler-324,51.805612,0.26,,,,0.86,2014-05-14,
HD 17092,359.9,,0.166,4.6,,2.3,2014-07-02,
Kepler-842,1.21956827,,,,552.,0.78,2016-05-10,
Kepler-1587,9.4060467,,,,907.,1.08,2016-05-10,
Kepler-1041,24.7576421,,,,979.,1.06,2016-05-10,
Kepler-535,4.90332155,,,,678.,1.18,2016-05-10,
Kepler-1479,14.53261362,,,,619.,0.99,2016-05-10,
Kepler-1611,5.1762429,,,,686.,0.94,2016-05-10,
BD+49 828,2590.,4.2,0.35,1.6,,1.52,2015-02-05,
Kepler-1481,5.94220998,,,,493.,0.8,2016-05-10,
Kepler-885,18.11472949,,,,632.,1.21,2016-05-10,
Kepler-888,70.6979061,,,,413.,0.97,2016-05-10,
Kepler-594,13.64618192,,,,742.,0.91,2016-05-10,
Kepler-480,4.9195838,,,,806.,1.25,2016-05-10,
Kepler-1023,62.1387714,,,,686.,0.93,2016-05-10,
Kepler-180,13.817124,0.109,,,,0.84,2014-05-14,
Kepler-180,41.885775,0.229,,,,0.84,2014-05-14,
Kepler-1614,3.9466141,,,,982.,0.79,2016-05-10,
Kepler-1028,2.51462432,,,,633.,0.9,2016-05-10,
Kepler-1348,27.5722742,,,,1033.,1.04,2016-05-10,
Kepler-1206,1.21699766,,,,807.,0.8,2016-05-10,
Kepler-1004,5.28789787,,,,1080.,1.11,2016-05-10,
Kepler-1214,18.82634264,,,,757.,0.85,2016-05-10,
Kepler-325,4.544439,0.053,,,,0.87,2014-05-14,
Kepler-325,38.715185,0.22,,,,0.87,2014-05-14,
Kepler-325,12.762172,0.105,,,,0.87,2014-05-14,
Kepler-1432,23.9109011,,,,1552.,1.09,2016-05-10,
Kepler-1431,5.86601526,,,,1270.,1.03,2016-05-10,
Kepler-154,33.040532,0.198,,,,0.89,2014-05-14,
Kepler-154,20.54981883,,,,,0.89,2016-05-10,
Kepler-154,62.303276,0.303,,,,0.89,2014-05-14,
Kepler-154,9.91935684,,,,,0.89,2016-05-10,
Kepler-154,3.93276465,,,,,0.89,2016-05-10,
Kepler-884,5.69919514,,,,420.,1.,2016-05-10,
Kepler-973,49.6077331,,,,297.,0.86,2016-05-10,
Kepler-51,45.154,0.2514,0.04,0.007,,1.04,2014-05-14,
Kepler-51,85.312,0.384,0.014,0.013,,1.04,2014-05-14,
Kepler-51,130.194,0.509,0.008,0.024,,1.04,2014-05-14,
Kepler-1488,39.8189932,,,,618.,1.05,2016-05-10,
Kepler-997,2.70730672,,,,470.,1.22,2016-05-10,
Kepler-1525,2.41660118,,,,396.,1.07,2016-05-10,
Kepler-1036,122.8808058,,,,507.,0.95,2016-05-10,
Kepler-443,177.6693,0.495,0.11,,779.,0.74,2015-01-06,
Kepler-52,7.8773565,,,8.7,,0.54,2014-05-14,
Kepler-52,36.445171,0.182,,,,0.54,2014-05-14,
Kepler-52,16.3850021,,,10.41,,0.54,2014-05-14,
Kepler-367,53.578637,0.253,,,,0.75,2014-05-14,
Kepler-367,37.815724,0.201,,,,0.75,2014-05-14,
Kepler-1258,0.98494017,,,,651.,0.99,2016-05-10,
Kepler-1471,3.63899398,,,,1059.,0.95,2016-05-10,
Kepler-1163,6.11786898,,,,487.,1.22,2016-05-10,
Kepler-50,9.37647,0.087,,,,1.24,2014-05-14,
Kepler-50,7.81254,0.077,,,,1.24,2014-05-14,
Kepler-1212,12.94130146,,,,1304.,1.1,2016-05-10,
Kepler-12,4.4379629,0.0553,,0.432,600.,1.17,2015-10-15,
Kepler-673,3.72873109,,,,978.,0.88,2016-05-10,
Kepler-513,28.86235584,,,,467.,1.02,2016-05-10,
Kepler-181,4.302149,0.049,,,,,2014-05-14,
Kepler-181,3.137873,0.04,,,,,2014-05-14,
Kepler-968,5.70940492,,,,312.,0.76,2016-05-10,
Kepler-968,3.69298373,,,,312.,0.76,2016-05-10,
Kepler-966,99.747622,,,,773.,1.02,2016-05-10,
Kepler-1504,82.304003,,,,1029.,0.85,2016-05-10,
HAT-P-22,3.21222,0.0414,0.016,2.147,82.,0.92,2014-05-14,
Kepler-4,3.21346,0.0456,0.,0.077,550.,1.22,2014-05-14,
Kepler-674,2.24338185,,,,302.,0.6,2016-05-10,
XO-2 S,120.8,0.4756,0.1528,1.37,148.,0.98,2014-07-09,
XO-2 S,18.157,0.1344,0.18,0.259,148.,0.98,2014-07-09,
XO-2 N,2.61585922,0.03673,0.006,0.597,145.5,0.97,2015-01-22,
Kepler-675,2.33743801,,,,651.,0.79,2016-05-10,
Kepler-10,45.294301,,0.,0.054,173.,0.91,2014-06-02,
Kepler-10,0.837491,0.0172,,0.0145,173.,0.91,2015-10-15,
Kepler-514,5.65179605,,,,489.,1.28,2016-05-10,
Kepler-1061,2.75798267,,,,585.,1.09,2016-05-10,
Kepler-676,11.59822172,,,,243.,0.51,2016-05-10,
Kepler-883,12.98495573,,,,549.,1.06,2016-05-10,
Kepler-1302,8.83922659,,,,727.,0.86,2016-05-10,
Kepler-677,6.57531678,,,,1180.,1.,2016-05-10,
Kepler-385,10.043686,0.097,,,,1.09,2014-05-14,
Kepler-385,15.163161,0.127,,,,1.09,2014-05-14,
Kepler-1357,3.0091324,,,,1026.,0.93,2016-05-10,
Kepler-470,24.66919569,,,,989.,1.4,2016-05-10,
Kepler-507,3.56809693,,,,410.,1.16,2016-05-10,
Kepler-1327,14.88801098,,,,688.,1.02,2016-05-10,
Kepler-485,3.2432598,,,,1173.,1.07,2016-05-10,
Kepler-870,21.3587621,,,,1231.,1.01,2016-05-10,
Kepler-678,7.27503724,,,,875.,0.94,2016-05-10,
Kepler-1404,15.9314739,,,,946.,0.84,2016-05-10,
Kepler-1455,49.276764,,,,392.,0.62,2016-05-10,
16 Cyg B,798.5,1.681,0.681,1.68,21.41,0.99,2015-09-10,
Kepler-231,19.271566,0.114,,,,0.58,2014-05-14,
Kepler-231,10.065275,0.074,,,,0.58,2014-05-14,
Kepler-197,10.349695,0.09,,,,,2014-05-14,
Kepler-197,5.599308,0.06,,,,,2014-05-14,
Kepler-197,25.209715,0.164,,,,,2014-05-14,
Kepler-197,15.677563,0.119,,,,,2014-05-14,
Kepler-679,12.39358604,,,,968.,0.87,2016-05-10,
Kepler-1449,13.2274528,,,,1321.,1.08,2016-05-10,
Kepler-572,17.20523483,,,,532.,0.83,2016-05-10,
Kepler-182,9.825792,0.096,,,,1.14,2014-05-14,
Kepler-182,20.684342,0.157,,,,1.14,2014-05-14,
Kepler-1448,12.27065865,,,,786.,0.95,2016-05-10,
Kepler-373,5.535309,0.06,,,,0.87,2014-05-14,
Kepler-373,16.725948,0.126,,,,0.87,2014-05-14,
Kepler-1082,1.5432066,,,,628.,1.03,2016-05-10,
HD 80606,111.4357,0.449,0.9332,3.94,29.04,0.97,2014-05-14,17.13
Kepler-680,3.68992629,,,,1342.,1.08,2016-05-10,
Kepler-1226,17.2923453,,,,779.,1.02,2016-05-10,
Kepler-1123,4.33946454,,,,796.,0.93,2016-05-10,
Kepler-394,12.130686,0.11,,,,1.11,2014-05-14,
Kepler-394,8.005013,0.083,,,,1.11,2014-05-14,
Kepler-595,25.30292332,,,,639.,0.87,2016-05-10,
Kepler-1343,3.35183158,,,,1307.,0.95,2016-05-10,
Kepler-1447,56.6747285,,,,871.,0.97,2016-05-10,
Kepler-889,3.744439,,,,513.,1.14,2016-05-10,
Kepler-1047,3.18897601,,,,566.,1.08,2016-05-10,
Kepler-1047,56.1886887,,,,566.,1.08,2016-05-10,
Kepler-401,14.383035,0.122,,,,,2014-05-14,
Kepler-401,47.318218,0.269,,,,,2014-05-14,
Kepler-401,184.256405,,,,,,2016-05-10,
Kepler-1166,33.2406882,,,,648.,0.9,2016-05-10,
Kepler-879,33.3855938,,,,772.,1.02,2016-05-10,
Kepler-1217,2.03232507,,,,1363.,1.06,2016-05-10,
Kepler-1213,5.34982412,,,,685.,1.14,2016-05-10,
Kepler-113,4.754,,,0.037,,0.75,2014-05-14,
Kepler-113,8.92507,,,0.027,,0.75,2014-05-14,
Kepler-869,40.4287755,,,,957.,0.97,2016-05-10,
Kepler-450,7.51464,,0.14,,,1.35,2015-05-21,
Kepler-450,28.454851,,0.02,,,1.35,2015-05-21,
Kepler-450,15.413135,,0.02,,,1.35,2015-05-21,
Kepler-391,7.416755,0.082,,,,1.22,2014-05-14,
Kepler-391,20.485435,0.161,,,,1.22,2014-05-14,
Kepler-1076,6.14727918,,,,199.,0.79,2016-05-10,
Kepler-155,52.661793,0.242,,,,0.58,2014-05-14,
Kepler-155,5.931194,0.056,,,,0.58,2014-05-14,
Kepler-232,4.431222,0.054,,,,,2014-05-14,
Kepler-232,11.379349,0.101,,,,,2014-05-14,
Kepler-413,66.262,0.3553,0.1181,0.211,,0.82,2014-05-14,
Kepler-419,69.7546,0.37,0.833,2.5,,1.39,2014-06-25,
Kepler-419,675.47,1.68,0.184,7.3,,1.39,2014-06-25,
Kepler-1434,8.05333618,,,,680.,1.47,2016-05-10,
Kepler-1409,0.76486493,,,,722.,0.83,2016-05-10,
Kepler-858,76.13602028,,,,296.,0.96,2016-05-10,
Kepler-573,22.18329658,,,,758.,0.99,2016-05-10,
Kepler-867,150.242127,,,,824.,0.92,2016-05-10,
Kepler-681,26.39435646,,,,666.,0.8,2016-05-10,
HAT-P-37,2.797436,0.0379,0.058,1.169,411.,0.93,2014-05-14,
Kepler-873,20.5533844,,,,1397.,1.18,2016-05-10,
Kepler-1193,2.83265213,,,,695.,1.08,2016-05-10,
Kepler-537,3.24755522,,,,465.,1.07,2016-05-10,
Kepler-233,60.418955,0.287,,,,,2014-05-14,
Kepler-233,8.472382,0.077,,,,,2014-05-14,
Kepler-1334,15.64591713,,,,1047.,0.94,2016-05-10,
Kepler-620,12.91375431,,,,1241.,1.15,2016-05-10,
Kepler-1248,7.46725407,,,,540.,1.21,2016-05-10,
Kepler-554,1.90220856,,,,642.,0.93,2016-05-10,
Kepler-1234,11.94014029,,,,866.,0.8,2016-05-10,
Kepler-895,2.80624233,,,,516.,0.65,2016-05-10,
Kepler-1563,3.43276598,,,,547.,1.,2016-05-10,
Kepler-1520,0.65355357,,,,636.,0.76,2016-05-10,
Kepler-596,21.30022655,,,,1083.,1.21,2016-05-10,
Kepler-897,8.0472642,,,,1147.,1.03,2016-05-10,
Kepler-682,12.61190667,,,,951.,0.92,2016-05-10,
Kepler-16,228.776,0.7048,0.0069,0.333,61.,0.69,2014-05-14,
HAT-P-29,5.723186,0.0667,0.095,0.778,322.,1.21,2014-05-14,
Kepler-1465,31.8277111,,,,350.,0.75,2016-05-10,
PH2,282.5255,0.828,0.41,,,0.94,2014-05-14,
Kepler-515,19.96371318,,,,255.,0.9,2016-05-10,
Kepler-1522,1.84788917,,,,690.,0.96,2016-05-10,
Kepler-574,7.65880414,,,,747.,0.95,2016-05-10,
HD 191806,1606.3,2.8,0.259,8.52,73.47,1.14,2016-05-19,13.61
HD 132406,974.,1.98,0.34,5.61,70.97,,2014-05-14,14.09
HD 233604,192.,0.747,0.05,6.575,,1.5,2014-05-14,
HD 118203,6.1335,0.07,0.309,2.13,88.57,1.23,2014-05-14,11.29
HD 139357,1125.7,2.36,0.1,9.76,121.36,1.35,2014-05-14,8.24
HD 167042,420.77,1.32,0.089,1.7,50.,1.5,2014-05-14,20.
HD 2952,311.6,1.2,0.129,1.6,115.21,2.54,2014-05-14,8.68
WASP-48,2.14363544,0.0332,0.,0.907,,1.06,2015-03-26,
HD 163607,1314.,2.42,0.12,2.29,69.44,1.09,2014-06-25,14.4
HD 163607,75.29,0.36,0.73,0.77,69.44,1.09,2015-02-05,14.4
HD 219415,2093.3,3.2,0.4,1.,169.78,1.,2015-09-18,5.89
HD 220842,218.47,0.74,0.404,3.18,62.5,1.13,2016-02-25,16.03
HD 240210,501.75,1.16,0.15,5.21,,0.82,2014-11-19,7.
HD 219134,6.7635,0.064816,0.,0.011,6.55,0.79,2015-11-19,
HD 219134,46.71,0.23508,0.,0.067,6.55,0.79,2015-11-19,
HD 219134,3.0931,0.038474,0.,0.012,6.55,0.79,2015-11-19,
HD 219134,22.805,0.14574,0.,0.028,6.55,0.79,2015-11-19,
HD 219134,2247.,3.11,0.06,0.34,6.55,0.79,2015-11-19,
HD 219134,94.2,0.3753,0.,0.034,6.55,0.79,2015-11-19,
HD 102956,6.495,0.081,0.048,0.96,121.07,1.68,2014-05-14,8.26
XO-3,3.1915239,0.0454,0.26,11.79,174.,1.21,2014-05-14,
HD 240237,745.7,1.9,0.4,5.3,307.69,1.69,2014-11-19,0.67
6 Lyn,874.774,2.18,0.125,2.21,56.95,1.7,2015-09-03,17.56
XO-4,4.1250828,,0.,1.78,293.,1.32,2014-05-14,
TYC 3667-1280-1,26.468,0.21,0.036,5.4,481.,1.87,2016-03-31,
HIP 75458,511.098,1.275,0.7124,8.82,31.33,1.05,2014-07-23,31.92
TrES-5,1.48224686,0.02459,,1.79,360.,0.9,2015-04-16,
omi UMa,1630.,3.9,0.13,4.1,56.31,3.09,2015-09-03,17.76
HD 68988,6.27711,0.0704,0.1249,1.86,58.82,1.18,2015-03-26,17.
HIP 91258,5.0505,0.057,0.024,1.068,44.46,0.95,2014-05-14,22.49
HD 220074,672.1,1.6,0.14,11.1,289.02,1.2,2014-05-14,3.46
HD 221585,1173.,2.306,0.123,1.61,53.59,1.19,2016-05-19,18.66
HD 156279,131.05,0.495,0.708,9.71,35.37,0.93,2014-05-14,28.27
HD 113337,324.,0.92,0.46,2.83,37.42,1.4,2014-05-14,26.72
HD 35759,82.467,0.389,0.389,3.76,72.5,1.15,2016-02-25,13.83
4 UMa,269.3,0.87,0.432,7.1,77.4,1.23,2014-05-14,12.92
Qatar-1,1.42002406,0.02298,,1.275,,0.8,2015-04-16,
42 Dra,479.1,1.19,0.38,3.88,97.28,0.98,2014-05-14,10.28
HD 13908,931.,2.03,0.12,5.13,66.89,1.29,2014-05-14,14.95
HD 13908,19.382,0.154,0.02,0.865,66.89,1.29,2014-05-14,14.95
GJ 687,38.14,0.16353,0.04,0.058,4.53,0.41,2014-05-28,220.85
HD 143105,2.1974,0.0379,0.07,1.21,48.7,1.51,2016-02-25,20.55
HD 32518,157.54,0.59,0.01,3.04,117.37,1.13,2014-05-14,8.52
HIP 109384,499.48,1.134,0.549,1.56,56.2,0.78,2016-02-25,17.84
HD 17156,21.21663,0.1614,0.6819,3.22,75.,1.24,2014-10-29,13.33
11 UMi,516.22,1.54,0.08,10.5,119.47,1.8,2014-05-14,8.37
psi Dra B,3117.,4.43,0.4,1.53,22.16,1.19,2015-12-17,45.13
HD 11755,433.7,1.08,0.19,6.5,231.5,0.9,2015-10-15,4.27
HD 24064,535.6,1.29,0.35,9.4,264.4,1.,2015-10-15,3.72
bet UMi,522.3,1.4,0.19,6.1,38.78,1.4,2014-05-14,25.79
HD 109246,68.27,0.33,0.12,0.77,65.6,1.01,2014-05-14,15.24
8 UMi,93.4,0.49,0.06,1.5,159.1,1.8,2015-10-15,6.25
HD 7924,5.39792,0.05664,0.058,0.02731,16.82,0.83,2015-05-14,
HD 7924,24.451,0.1551,0.21,0.02026,16.82,0.83,2015-05-14,
HD 7924,15.299,0.1134,0.098,0.02473,16.82,0.83,2015-05-14,
HD 104985,199.505,0.95,0.09,8.3,102.04,,2014-05-14,9.8
gam Cep,903.3,2.05,0.049,1.85,13.79,1.4,2014-08-27,72.5
HD 120084,2082.,4.3,0.66,4.5,97.66,2.39,2014-05-14,10.24
HD 33564,388.,1.1,0.34,9.1,20.98,1.25,2014-12-03,47.66
HD 150706,5894.,6.7,0.38,2.71,27.23,1.17,2014-07-23,36.73
HD 12648,133.6,0.54,0.04,2.9,158.4,1.2,2015-10-15,6.29
